period,weight,start_time,end_time
2,10.0,2017-01-02T00:00:00.0,2017-01-03T00:00:00.0
32,8.0,2017-02-01T00:00:00.0,2017-02-02T00:00:00.0
40,17.0,2017-02-09T00:00:00.0,2017-02-10T00:00:00.0
57,12.0,2017-02-26T00:00:00.0,2017-02-27T00:00:00.0
58,7.0,2017-02-27T00:00:00.0,2017-02-28T00:00:00.0
82,5.0,2017-03-23T00:00:00.0,2017-03-24T00:00:00.0
91,11.0,2017-04-01T00:00:00.0,2017-04-02T00:00:00.0
94,14.0,2017-04-04T00:00:00.0,2017-04-05T00:00:00.0
126,6.0,2017-05-06T00:00:00.0,2017-05-07T00:00:00.0
132,15.0,2017-05-12T00:00:00.0,2017-05-13T00:00:00.0
140,19.0,2017-05-20T00:00:00.0,2017-05-21T00:00:00.0
150,8.0,2017-05-30T00:00:00.0,2017-05-31T00:00:00.0
186,21.0,2017-07-05T00:00:00.0,2017-07-06T00:00:00.0
190,10.0,2017-07-09T00:00:00.0,2017-07-10T00:00:00.0
216,11.0,2017-08-04T00:00:00.0,2017-08-05T00:00:00.0
223,6.0,2017-08-11T00:00:00.0,2017-08-12T00:00:00.0
224,10.0,2017-08-12T00:00:00.0,2017-08-13T00:00:00.0
238,17.0,2017-08-26T00:00:00.0,2017-08-27T00:00:00.0
255,4.0,2017-09-12T00:00:00.0,2017-09-13T00:00:00.0
256,5.0,2017-09-13T00:00:00.0,2017-09-14T00:00:00.0
258,31.0,2017-09-15T00:00:00.0,2017-09-16T00:00:00.0
276,16.0,2017-10-03T00:00:00.0,2017-10-04T00:00:00.0
286,17.0,2017-10-13T00:00:00.0,2017-10-14T00:00:00.0
290,11.0,2017-10-17T00:00:00.0,2017-10-18T00:00:00.0
293,10.0,2017-10-20T00:00:00.0,2017-10-21T00:00:00.0
314,9.0,2017-11-10T00:00:00.0,2017-11-11T00:00:00.0
319,18.0,2017-11-15T00:00:00.0,2017-11-16T00:00:00.0
329,5.0,2017-11-25T00:00:00.0,2017-11-26T00:00:00.0
332,6.0,2017-11-28T00:00:00.0,2017-11-29T00:00:00.0
342,9.0,2017-12-08T00:00:00.0,2017-12-09T00:00:00.0
343,10.0,2017-12-09T00:00:00.0,2017-12-10T00:00:00.0
352,7.0,2017-12-18T00:00:00.0,2017-12-19T00:00:00.0
